time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
152.0,-12.886666666666464,4.277460317460237,4.428571428571361,1.379999999999989,-6.159999999999924,0.671999999999954,2.259999999999978,-20.059999999999597,6.986666666666573,0.25999999999997814,0.7599999999999781,2.8999999999999453
153.0,-23.324999999999783,8.762444444444348,8.321428571428477,2.3899999999999753,-9.96666666666658,3.5139999999999336,2.9449999999999874,-41.142999999999546,10.669999999999925,0.9449999999999876,1.8899999999999753,5.7249999999999375
154.0,-23.250000000000124,9.286666666666726,10.986666666666684,2.990000000000014,-10.990000000000014,4.9900000000000135,2.990000000000014,-44.42800000000024,9.103333333333426,1.9800000000000275,2.0,5.9700000000000415
155.0,-18.491666666666788,6.625000000000064,10.133333333333363,2.4250000000000127,-10.350000000000026,4.425000000000013,2.4250000000000127,-34.38600000000028,5.625000000000064,1.0,2.0,4.2750000000000385
156.0,-13.406666666666677,3.9400000000000026,8.72,2.0,-9.22,3.7200000000000015,1.8600000000000008,-22.30691764705884,2.9400000000000026,1.0,1.8600000000000008,2.813333333333333
157.0,-8.526666666666689,1.6800000000000084,7.385000000000006,2.0,-8.02166666666667,2.5900000000000043,1.2950000000000021,-11.37617647058827,0.7483333333333428,0.7950000000000021,1.2950000000000021,1.7866666666666693
158.0,-4.546666666666693,-0.3099999999999894,5.510000000000016,2.0,-6.61333333333334,1.460000000000007,1.0,-2.7200000000000495,-0.9633333333333229,0.23000000000000353,1.0,0.46000000000000707
159.0,-1.8266666666666915,-1.66999999999999,4.220000000000008,1.33000000000001,-5.33000000000001,0.33000000000001006,1.0,4.184999999999945,-1.834999999999995,0.0,1.0,0.0
160.0,0.29999999999996807,-2.799999999999987,2.933333333333354,1.0,-4.600000000000007,0.0,1.0,9.199999999999948,-2.799999999999987,0.0,1.0,0.0
161.0,1.7516666666666432,-3.929999999999984,2.0466666666666775,1.0,-3.570000000000016,-0.4649999999999921,1.0,12.32499999999996,-3.0,0.0,1.0,-0.4649999999999921
162.0,2.863333333333319,-4.0,1.4700000000000093,1.0,-3.0,-1.0,1.0,14.373333333333317,-2.4700000000000095,-1.0,0.9400000000000186,-1.0
163.0,3.3333333333333286,-4.189999999999978,0.8100000000000216,1.0,-2.905000000000011,-1.1899999999999784,1.0,15.189999999999978,-2.0,-1.0,0.0,-1.0
164.0,3.3333333333333286,-5.0,-0.1599999999999878,1.0,-2.3400000000000123,-2.0,1.0,16.0,-2.0,-1.0,0.0,-1.0
165.0,3.3333333333333286,-4.775000000000014,-0.7249999999999863,1.0,-1.7750000000000137,-2.4499999999999726,1.0,15.550000000000027,-1.5500000000000274,-1.0,0.0,-1.0
166.0,3.3333333333333286,-4.210000000000015,-1.289999999999985,0.7100000000000151,-1.210000000000015,-3.0,1.0,14.710000000000015,-1.0,-1.0,0.0,-1.0
167.0,3.3333333333333286,-4.0,-1.8549999999999836,0.14500000000001656,-1.0,-3.0,1.0,14.145000000000017,-1.0,-1.0,0.0,-1.0
168.0,2.4933333333333376,-4.0,-2.0,0.0,-0.5800000000000045,-3.0,1.0,13.160000000000009,-0.16000000000000902,-1.0,0.0,-1.0
169.0,2.3333333333333286,-4.0,-2.0,0.0,-0.0150000000000034,-3.969999999999993,1.0,12.030000000000006,0.0,-1.0,0.0,-0.0300000000000068
170.0,1.3333333333333286,-3.9000000000000097,-3.0,0.0,0.0,-4.0,1.0,10.90000000000001,0.09999999999999036,-1.0,0.0,0.0
171.0,1.3333333333333286,-3.0,-3.0,0.0,0.0,-4.0,1.0,9.885000000000007,1.0,-1.0,0.0,0.0
172.0,0.973333333333344,-3.0,-3.0,0.0,0.0,-4.0,1.0,9.320000000000007,1.0,-1.0,0.0,0.0
173.0,0.3333333333333286,-3.0,-3.0,0.0,0.0,-4.0,1.0,8.510000000000018,1.2449999999999908,-1.0,0.0,0.0
174.0,0.0233333333333392,-2.380000000000021,-3.0,0.0,0.0,-4.0,1.0,7.380000000000021,1.8099999999999894,-1.0,0.0,0.0
175.0,-0.5416666666666593,-2.0,-3.0,0.0,0.0,-4.0,1.0,7.0,2.0,-1.0,0.0,0.0
176.0,-0.6666666666666714,-2.0,-3.0,0.0,0.0,-4.0,1.0,6.120000000000027,2.0,-1.0,0.0,0.0
177.0,-0.6666666666666714,-2.0,-3.0,0.0,0.0,-4.0,1.0,5.495000000000015,2.0,-1.0,0.0,0.0
178.0,-0.8066666666666387,-2.0,-3.0,0.0,0.0,-4.0,1.0,5.0,2.0,-1.0,0.0,0.0
179.0,-1.6666666666666714,-1.730000000000027,-3.0,0.0,0.0,-4.0,1.0,4.730000000000027,2.0,-1.0,0.0,0.0
180.0,-1.6666666666666714,-1.0,-2.8000000000000034,0.0,0.0,-4.0,1.0,4.0,2.1999999999999966,-1.0,0.0,0.0
181.0,-1.6666666666666714,-1.0,-2.2350000000000048,0.0,0.0,-3.7350000000000048,1.0,3.7350000000000048,2.7649999999999952,-1.0,0.0,0.0
182.0,-1.6666666666666714,-1.0,-2.0,0.0,0.0,-3.170000000000006,1.0,3.170000000000006,3.0,-1.0,0.0,0.0
183.0,-1.6666666666666714,-1.0,-2.0,0.0,0.0,-3.0,1.0,3.0,3.0,-0.21000000000001517,0.0,0.0
184.0,-1.6666666666666714,-1.0,-2.0,0.0,0.0,-3.0,1.0,3.0,3.0,0.0,0.0,0.0
185.0,-2.6666666666666714,-1.0,-2.0,0.0,-0.02499999999998956,-3.0,1.0,3.0,3.0,0.0,0.0,0.0
186.0,-2.6666666666666714,-1.0,-2.0,0.0,-0.5899999999999881,-3.0,1.0,3.0,3.0,0.0,0.0,0.0
187.0,-2.6666666666666714,-1.0,-2.0,0.0,-1.0,-3.0,1.0,2.6900000000000266,3.3099999999999734,0.0,0.0,0.0
